indice,titulo,descripcion,carpeta,imagenes
0,"Depto para 3 y 4 personas, Av Callao 966","El depto incluye:
Ropa de cama
Toallas/toallones
Utensilios de cocina
Heladera bajo mesada
Microond Leer más
Enviar mensaje a la empresa","01 - Depto para 3 y 4 personas, Av Callao 966",8
1,"Depto para 2 y 3 personas, Av Callao 930","Detalles
El depto incluye:
Ropa de cama y toallones
WiFi y Tv con cable
Aire acondicionado y calefacción cen Leer más
Enviar mensaje a la empresa","02 - Depto para 2 y 3 personas, Av Callao 930",10
2,"Depto para 1 y 2 personas, Av Callao 930","Detalles
El depto incluye:
Ropa de cama y toallones
WiFi y Tv con cable
Aire acondicionado y calefacción cen Leer más
Enviar mensaje a la empresa","03 - Depto para 1 y 2 personas, Av Callao 930",10
3,"Depto para 2 y 3 personas, Av Callao 966","El depto incluye:
Ropa de cama
Toallas y toallones
WiFi y Tv con cable
Balcón al contrafrente
Hela Leer más
Enviar mensaje a la empresa","04 - Depto para 2 y 3 personas, Av Callao 966",10
4,"Depto para 3 y 4 personas, Av Callao 966","El depto incluye:
Ropa de cama
Toallas y toallones
WiFi y Tv con cable
Aire acondicionado
Utensilio Leer más
Enviar mensaje a la empresa","05 - Depto para 3 y 4 personas, Av Callao 966",10
5,"Depto para 1 y 2 personas, Callao 930","El depto incluye:
Ropa de cama y toallones
WiFi y Tv con cable
Vista a la piscina (luminoso)
Aire a Leer más
Enviar mensaje a la empresa","06 - Depto para 1 y 2 personas, Callao 930",7
6,"Depto para 2 y 3 personas, Callao 1234","El depto incluye:
Ropa de cama
Toallas y toallones
WiFi y Tv con cable
Aire acondicionado
Vista ha Leer más
Enviar mensaje a la empresa","07 - Depto para 2 y 3 personas, Callao 1234",10
7,"Depto para 2 y 3 personas, Callao 966","El depto incluye
Ropa de cama y toallones
WiFi y Tv con cable
Aire acondicionado
Utensilios de coc Leer más
1A
Enviar mensaje a la empresa","08 - Depto para 2 y 3 personas, Callao 966",8
8,"Depto para 4 y 5 personas, Av Santa Fe. Recoleta","Detalles
Enviar mensaje a la empresa","09 - Depto para 4 y 5 personas, Av Santa Fe. Recoleta",10
9,"Depto para 1 y 2 personas, Callao 966","El depto incluye
Ropa de cama y toallones
WiFi y Tv con cable
Aire acondicionado
Utensilios de coc Leer más
Enviar mensaje a la empresa","10 - Depto para 1 y 2 personas, Callao 966",10
10,"Depto para 3 y 4 personas, Av Callao 966","Detalles
El depto incluye:
Ropa de cama y toallones
WiFi y Tv con cable
Balcón vista al contrafrente (lumino Leer más
Enviar mensaje a la empresa","11 - Depto para 3 y 4 personas, Av Callao 966",10
11,"Depto para 1 y 2 personas, Callao 930","El depto incluye:
Ropa de cama y toallones
WiFi y Tv con cable
Aire acondicionado
Calefacción cent Leer más
Enviar mensaje a la empresa","12 - Depto para 1 y 2 personas, Callao 930",9
12,"Depto para 3 y 4 personas, Av Callao 966","Detalles
El depto incluye:
Ropa de cama y toallones
WiFi y Tv con cable
Aire acondicionado
Calefacción a gas Leer más
Enviar mensaje a la empresa","13 - Depto para 3 y 4 personas, Av Callao 966",8
13,Depto para 2 y 3 personas,"Detalles
Enviar mensaje a la empresa",14 - Depto para 2 y 3 personas,6
14,"Depto para 1 y 2 personas, Callao 930","Este depto incluye:
Ropa de cama
Toallas y toallones
WiFi y Tv con cable
Aire acondicionado
Calefa Leer más
Enviar mensaje a la empresa","15 - Depto para 1 y 2 personas, Callao 930",10
15,"Depto para 1 y 2 personas, Recoleta","Qué incluye este depto?
Ropa de cama
Toallas y toallones
WiFi y Tv con cable Flow
Utensilios de coc Leer más
Enviar mensaje a la empresa","16 - Depto para 1 y 2 personas, Recoleta",10
16,"Depto para 3 y 4 personas, Callao 966","El depto incluye
Ropa de cama y toallones
WiFi y Tv con cable
Aire acondicionado
Utensilios de coc Leer más
Enviar mensaje a la empresa","17 - Depto para 3 y 4 personas, Callao 966",10
17,"Departamento para 2 y 3 personas, Av Callao 930","El depto incluye
Ropa de cama y toallones
WiFi y Tv con cable
Utensilios de cocina
Vista a la pisci Leer más
Enviar mensaje a la empresa","18 - Departamento para 2 y 3 personas, Av Callao 930",10
18,"Depto para 2 y 3 personas, Av Santa Fe","El depto incluye
Ropa de cama y toallones
WiFi y Tv con cable
Aire acondicionado
Utensilios de coc Leer más
Enviar mensaje a la empresa","19 - Depto para 2 y 3 personas, Av Santa Fe",10
19,"Depto para 5 personas (primera parte), Callao 966","Detalles
El depto incluye
Ropa de cama y toallones
WiFi y Tv con cable (living y cuarto principal)
3 camas d Leer más
Enviar mensaje a la empresa","20 - Depto para 5 personas (primera parte), Callao 966",10
20,"Depto para 3 y 4 personas, Callao 966","El depto incluye
Ropa de cama y toallones
WiFi y Tv con cable
Aire acondicionado
Utensilios de coc Leer más
Enviar mensaje a la empresa","21 - Depto para 3 y 4 personas, Callao 966",9
